Evaluation1,Evaluation2,Assessement1,Evaluation3,FinalAssessement
6.62,7.62,7.96,8.62,8.11
6.34,7.34,7.76,8.34,7.97
1.78,2.78,4.34,3.78,5.69
4.73,5.73,6.55,6.73,7.17
7.8,8.8,8.85,9.8,8.7
5.47,6.47,7.1,7.47,7.54
5.96,6.96,7.47,7.96,7.78
5.15,6.15,6.86,7.15,7.38
8.35,9.35,9.26,10,8.98
4.45,5.45,6.34,6.45,7.03
5.27,6.27,6.95,7.27,7.43
2.65,3.65,4.99,4.65,6.13
6.87,7.87,8.15,8.87,8.24
5.48,6.48,7.11,7.48,7.54
10,10,10,10,9.87
4.59,5.59,6.44,6.59,7.09
5.89,6.89,7.42,7.89,7.75
4.21,5.21,6.16,6.21,6.9
8.82,9.82,9.62,10,9.21
6.21,7.21,7.66,8.21,7.91
6.71,7.71,8.03,8.71,8.15
9.17,10,9.87,10,9.38
7.56,8.56,8.67,9.56,8.58
7.36,8.36,8.52,9.36,8.48
9.41,10,10,10,9.5
4.92,5.92,6.69,6.92,7.26
7.6,8.6,8.7,9.6,8.6
5.18,6.18,6.88,7.18,7.39
6.07,7.07,7.56,8.07,7.84
9.04,10,9.78,10,9.32
2.43,3.43,4.82,4.43,6.02
8.72,9.72,9.54,10,9.16
2.97,3.97,5.23,4.97,6.28
6.07,7.07,7.56,8.07,7.84
3.84,4.84,5.88,5.84,6.72
7.44,8.44,8.58,9.44,8.52
9.12,10,9.84,10,9.36
4.39,5.39,6.29,6.39,6.99
7.15,8.15,8.36,9.15,8.37
7.2,8.2,8.4,9.2,8.4
3.36,4.36,5.52,5.36,6.48
8.29,9.29,9.21,10,8.94
6.39,7.39,7.79,8.39,7.99
6.02,7.02,7.51,8.02,7.81
3.16,4.16,5.37,5.16,6.38
3.37,4.37,5.53,5.37,6.49
4.73,5.73,6.55,6.73,7.16
2,3,4.5,4,5.8
2.72,3.72,5.04,4.72,6.16
2.02,3.02,4.51,4.02,5.81
8.36,9.36,9.27,10,8.98
7.81,8.81,8.86,9.81,8.71
6.61,7.61,7.96,8.61,8.11
10,10,10,10,10
4.32,5.32,6.24,6.32,6.96
7.85,8.85,8.89,9.85,8.73
5.7,6.7,7.27,7.7,7.65
4.08,5.08,6.06,6.08,6.84
4.73,5.73,6.54,6.73,7.16
5.47,6.47,7.1,7.47,7.53
6.65,7.65,7.99,8.65,8.13
4.05,5.05,6.04,6.05,6.82
4.47,5.47,6.36,6.47,7.04
7.75,8.75,8.81,9.75,8.68
6.5,7.5,7.88,8.5,8.05
5.56,6.56,7.17,7.56,7.58
4.74,5.74,6.56,6.74,7.17
7.08,8.08,8.31,9.08,8.34
4.57,5.57,6.43,6.57,7.09
7.31,8.31,8.48,9.31,8.46
3.32,4.32,5.49,5.32,6.46
1.47,2.47,4.1,3.47,5.54
9.45,10,10,10,9.53
2.54,3.54,4.91,4.54,6.07
9.77,10,10,10,9.69
4.76,5.76,6.57,6.76,7.18
7.2,8.2,8.4,9.2,8.4
6.5,7.5,7.88,8.5,8.05
5.58,6.58,7.18,7.58,7.59
1.99,2.99,4.49,3.99,5.79
5.25,6.25,6.94,7.25,7.42
6.38,7.38,7.78,8.38,7.99
8.56,9.56,9.42,10,9.08
5.45,6.45,7.08,7.45,7.52
5.84,6.84,7.38,7.84,7.72
5.87,6.87,7.4,7.87,7.73
6.83,7.83,8.12,8.83,8.22
5.53,6.53,7.15,7.53,7.57
4.59,5.59,6.45,6.59,7.1
3.45,4.45,5.59,5.45,6.52
9,10,9.75,10,9.3
10,10,10,10,9.82
6.11,7.11,7.58,8.11,7.86
5.33,6.33,7,7.33,7.46
7.21,8.21,8.41,9.21,8.41
5.16,6.16,6.87,7.16,7.38
6.47,7.47,7.85,8.47,8.03
5.7,6.7,7.28,7.7,7.65
7.39,8.39,8.54,9.39,8.5
5.68,6.68,7.26,7.68,7.64
4.85,5.85,6.64,6.85,7.23
8.66,9.66,9.49,10,9.13
8.81,9.81,9.61,10,9.21
4.49,5.49,6.36,6.49,7.04
6.73,7.73,8.04,8.73,8.16
4.21,5.21,6.16,6.21,6.9
6.03,7.03,7.52,8.03,7.82
7.12,8.12,8.34,9.12,8.36
5.25,6.25,6.94,7.25,7.42
4.65,5.65,6.49,6.65,7.13
5.48,6.48,7.11,7.48,7.54
3.93,4.93,5.95,5.93,6.77
6.86,7.86,8.15,8.86,8.23
4.61,5.61,6.46,6.61,7.11
6.19,7.19,7.64,8.19,7.89
5.06,6.06,6.79,7.06,7.33
5.62,6.62,7.22,7.62,7.61
3.93,4.93,5.95,5.93,6.76
5.48,6.48,7.11,7.48,7.54
8.03,9.03,9.02,10,8.82
5.75,6.75,7.31,7.75,7.67
6.62,7.62,7.97,8.62,8.11
9.24,10,9.93,10,9.42
6.74,7.74,8.05,8.74,8.17
9.84,10,10,10,9.72
0.64,1.64,3.48,2.64,5.12
4.53,5.53,6.39,6.53,7.06
3.05,4.05,5.29,5.05,6.33
7.99,8.99,8.99,9.99,8.8
5.89,6.89,7.42,7.89,7.74
7.01,8.01,8.26,9.01,8.31
6.13,7.13,7.6,8.13,7.86
7.98,8.98,8.99,9.98,8.79
6.99,7.99,8.24,8.99,8.3
9.21,10,9.91,10,9.4
7.2,8.2,8.4,9.2,8.4
6.85,7.85,8.14,8.85,8.22
4.9,5.9,6.68,6.9,7.25
5.21,6.21,6.9,7.21,7.4
4.11,5.11,6.08,6.11,6.86
6.9,7.9,8.18,8.9,8.25
8.04,9.04,9.03,10,8.82
3.17,4.17,5.38,5.17,6.38
2.25,3.25,4.69,4.25,5.93
4.12,5.12,6.09,6.12,6.86
2.91,3.91,5.18,4.91,6.25
4.64,5.64,6.48,6.64,7.12
4.33,5.33,6.25,6.33,6.96
6.32,7.32,7.74,8.32,7.96
2.69,3.69,5.02,4.69,6.15
5.77,6.77,7.33,7.77,7.69
3.66,4.66,5.75,5.66,6.63
5.17,6.17,6.88,7.17,7.39
3.97,4.97,5.98,5.97,6.78
5.05,6.05,6.79,7.05,7.33
2.71,3.71,5.04,4.71,6.16
6.13,7.13,7.6,8.13,7.87
6.02,7.02,7.52,8.02,7.81
3.23,4.23,5.42,5.23,6.42
8.18,9.18,9.13,10,8.89
6.01,7.01,7.51,8.01,7.81
5.8,6.8,7.35,7.8,7.7
5.77,6.77,7.33,7.77,7.68
4.38,5.38,6.28,6.38,6.99
9.32,10,9.99,10,9.46
4.3,5.3,6.22,6.3,6.95
7.25,8.25,8.44,9.25,8.42
7.58,8.58,8.69,9.58,8.59
5.63,6.63,7.23,7.63,7.62
2.46,3.46,4.84,4.46,6.03
5.5,6.5,7.13,7.5,7.55
7.59,8.59,8.69,9.59,8.59
5.58,6.58,7.19,7.58,7.59
5.78,6.78,7.33,7.78,7.69
8,9,9,10,8.8
9.58,10,10,10,9.59
5,6,6.75,7,7.3
10,10,10,10,10
7.52,8.52,8.64,9.52,8.56
5.41,6.41,7.06,7.41,7.5
4.72,5.72,6.54,6.72,7.16
7.1,8.1,8.33,9.1,8.35
8.34,9.34,9.25,10,8.97
5.2,6.2,6.9,7.2,7.4
4.47,5.47,6.36,6.47,7.04
6.53,7.53,7.9,8.53,8.07
5.57,6.57,7.17,7.57,7.58
7.36,8.36,8.52,9.36,8.48
4.68,5.68,6.51,6.68,7.14
3.99,4.99,5.99,5.99,6.79
3.46,4.46,5.6,5.46,6.53
4.76,5.76,6.57,6.76,7.18
10,10,10,10,9.98
4.62,5.62,6.46,6.62,7.11
5.53,6.53,7.15,7.53,7.56
5.35,6.35,7.01,7.35,7.48
5.94,6.94,7.46,7.94,7.77
5.67,6.67,7.25,7.67,7.63
4.79,5.79,6.59,6.79,7.2
6.96,7.96,8.22,8.96,8.28
5.7,6.7,7.27,7.7,7.65
4.37,5.37,6.27,6.37,6.98
4.05,5.05,6.04,6.05,6.83
6.34,7.34,7.75,8.34,7.97
7.13,8.13,8.34,9.13,8.36
8.71,9.71,9.53,10,9.15
9.66,10,10,10,9.63
4.69,5.69,6.52,6.69,7.15
8.62,9.62,9.47,10,9.11
4.94,5.94,6.71,6.94,7.27
6.49,7.49,7.87,8.49,8.05
3.61,4.61,5.7,5.61,6.6
3.97,4.97,5.98,5.97,6.79
3.79,4.79,5.84,5.79,6.7
4.78,5.78,6.58,6.78,7.19
8.66,9.66,9.49,10,9.13
7.33,8.33,8.5,9.33,8.47
8.74,9.74,9.55,10,9.17
9,10,9.75,10,9.3
3.48,4.48,5.61,5.48,6.54
7.81,8.81,8.86,9.81,8.7
7.54,8.54,8.66,9.54,8.57
7.12,8.12,8.34,9.12,8.36
6.45,7.45,7.84,8.45,8.03
1.35,2.35,4.01,3.35,5.47
2.28,3.28,4.71,4.28,5.94
6.85,7.85,8.14,8.85,8.23
5.35,6.35,7.02,7.35,7.48
1.28,2.28,3.96,3.28,5.44
2.02,3.02,4.52,4.02,5.81
6.96,7.96,8.22,8.96,8.28
3.8,4.8,5.85,5.8,6.7
5.46,6.46,7.1,7.46,7.53
6.4,7.4,7.8,8.4,8
6.97,7.97,8.23,8.97,8.29
6.17,7.17,7.63,8.17,7.88
5.14,6.14,6.86,7.14,7.37
8.12,9.12,9.09,10,8.86
6.68,7.68,8.01,8.68,8.14
4.22,5.22,6.16,6.22,6.91
5.64,6.64,7.23,7.64,7.62
7.04,8.04,8.28,9.04,8.32
10,10,10,10,10
5.02,6.02,6.76,7.02,7.31
6.92,7.92,8.19,8.92,8.26
5.75,6.75,7.31,7.75,7.67
6.55,7.55,7.91,8.55,8.08
8.02,9.02,9.02,10,8.81
6.56,7.56,7.92,8.56,8.08
3.23,4.23,5.42,5.23,6.41
7.26,8.26,8.45,9.26,8.43
7.93,8.93,8.95,9.93,8.76
8.61,9.61,9.45,10,9.1
3.99,4.99,5.99,5.99,6.8
4.57,5.57,6.43,6.57,7.09
3.8,4.8,5.85,5.8,6.7
4.86,5.86,6.65,6.86,7.23
5.19,6.19,6.89,7.19,7.39
6.54,7.54,7.91,8.54,8.07
5.69,6.69,7.27,7.69,7.65
4.25,5.25,6.19,6.25,6.93
6.68,7.68,8.01,8.68,8.14
6.56,7.56,7.92,8.56,8.08
4.1,5.1,6.07,6.1,6.85
4.29,5.29,6.22,6.29,6.95
4.81,5.81,6.61,6.81,7.21
0.8,1.8,3.6,2.8,5.2
7.43,8.43,8.57,9.43,8.51
3.19,4.19,5.39,5.19,6.4
10,10,10,10,10
7.89,8.89,8.92,9.89,8.74
7.65,8.65,8.74,9.65,8.63
7.25,8.25,8.44,9.25,8.42
3.7,4.7,5.78,5.7,6.65
4.06,5.06,6.04,6.06,6.83
6.76,7.76,8.07,8.76,8.18
4.7,5.7,6.53,6.7,7.15
7.38,8.38,8.54,9.38,8.49
3.13,4.13,5.35,5.13,6.36
6.75,7.75,8.06,8.75,8.18
8.36,9.36,9.27,10,8.98
8.17,9.17,9.12,10,8.88
9.38,10,10,10,9.49
4.63,5.63,6.47,6.63,7.11
2.01,3.01,4.51,4.01,5.8
3.56,4.56,5.67,5.56,6.58
8.47,9.47,9.35,10,9.03
5.45,6.45,7.09,7.45,7.52
7.89,8.89,8.92,9.89,8.75
6.58,7.58,7.93,8.58,8.09
5.63,6.63,7.22,7.63,7.62
4.57,5.57,6.42,6.57,7.08
7.28,8.28,8.46,9.28,8.44
6.41,7.41,7.81,8.41,8.01
5.06,6.06,6.79,7.06,7.33
4.81,5.81,6.6,6.81,7.2
8.56,9.56,9.42,10,9.08
5.86,6.86,7.39,7.86,7.73
2.52,3.52,4.89,4.52,6.06
5.09,6.09,6.81,7.09,7.34
6.39,7.39,7.79,8.39,7.99
8.08,9.08,9.06,10,8.84
6.7,7.7,8.02,8.7,8.15
5.55,6.55,7.16,7.55,7.57
5.94,6.94,7.45,7.94,7.77
5.01,6.01,6.76,7.01,7.31
7.1,8.1,8.33,9.1,8.35
5.53,6.53,7.15,7.53,7.56
7.7,8.7,8.77,9.7,8.65
9.33,10,10,10,9.47
5.22,6.22,6.91,7.22,7.41
4.59,5.59,6.44,6.59,7.09
9.86,10,10,10,9.73
7.73,8.73,8.8,9.73,8.67
4.17,5.17,6.12,6.17,6.88
7.14,8.14,8.35,9.14,8.37
6.07,7.07,7.55,8.07,7.83
7.48,8.48,8.61,9.48,8.54
1.79,2.79,4.35,3.79,5.7
5.84,6.84,7.38,7.84,7.72
4.06,5.06,6.04,6.06,6.83
7.72,8.72,8.79,9.72,8.66
4.32,5.32,6.24,6.32,6.96
2.73,3.73,5.05,4.73,6.16
5.89,6.89,7.41,7.89,7.74
7.15,8.15,8.36,9.15,8.37
5.75,6.75,7.32,7.75,7.68
7.92,8.92,8.94,9.92,8.76
3.21,4.21,5.41,5.21,6.41
2.02,3.02,4.51,4.02,5.81
5.36,6.36,7.02,7.36,7.48
7.22,8.22,8.41,9.22,8.41
4.12,5.12,6.09,6.12,6.86
8.55,9.55,9.41,10,9.08
8.97,9.97,9.73,10,9.28
6.56,7.56,7.92,8.56,8.08
6.63,7.63,7.97,8.63,8.11
4.49,5.49,6.37,6.49,7.05
6.5,7.5,7.87,8.5,8.05
5.29,6.29,6.97,7.29,7.44
5.74,6.74,7.31,7.74,7.67
5.8,6.8,7.35,7.8,7.7
4.44,5.44,6.33,6.44,7.02
4.78,5.78,6.59,6.78,7.19
3.29,4.29,5.47,5.29,6.44
8.51,9.51,9.38,10,9.05
8.4,9.4,9.3,10,9
6.63,7.63,7.98,8.63,8.12
4.29,5.29,6.22,6.29,6.95
3.9,4.9,5.93,5.9,6.75
9.19,10,9.89,10,9.39
3.67,4.67,5.75,5.67,6.64
6.81,7.81,8.11,8.81,8.21
6.86,7.86,8.15,8.86,8.23
8.42,9.42,9.32,10,9.01
8.63,9.63,9.48,10,9.12
4.3,5.3,6.23,6.3,6.95
4.24,5.24,6.18,6.24,6.92
6.84,7.84,8.13,8.84,8.22
5.84,6.84,7.38,7.84,7.72
7.65,8.65,8.74,9.65,8.62
2.69,3.69,5.02,4.69,6.15
6.84,7.84,8.13,8.84,8.22
6.11,7.11,7.58,8.11,7.85
9.52,10,10,10,9.56
8.76,9.76,9.57,10,9.18
4.85,5.85,6.64,6.85,7.22
7.65,8.65,8.74,9.65,8.62
4.46,5.46,6.35,6.46,7.03
5.7,6.7,7.28,7.7,7.65
10,10,10,10,9.83
6.21,7.21,7.66,8.21,7.9
5.93,6.93,7.44,7.93,7.76
3.76,4.76,5.82,5.76,6.68
5.19,6.19,6.9,7.19,7.4
4.43,5.43,6.33,6.43,7.02
5.31,6.31,6.98,7.31,7.45
8.75,9.75,9.56,10,9.17
2.37,3.37,4.77,4.37,5.98
8.08,9.08,9.06,10,8.84
3.86,4.86,5.9,5.86,6.73
10,10,10,10,9.88
6.03,7.03,7.52,8.03,7.81
8.47,9.47,9.35,10,9.03
2.84,3.84,5.13,4.84,6.22
5.21,6.21,6.91,7.21,7.41
8.16,9.16,9.12,10,8.88
7.82,8.82,8.87,9.82,8.71
2.23,3.23,4.67,4.23,5.92
5.93,6.93,7.45,7.93,7.77
5.5,6.5,7.13,7.5,7.55
6.43,7.43,7.82,8.43,8.01
4.93,5.93,6.7,6.93,7.26
5.96,6.96,7.47,7.96,7.78
6.81,7.81,8.11,8.81,8.2
6.54,7.54,7.91,8.54,8.07
8.45,9.45,9.34,10,9.02
9.97,10,10,10,9.78
5.22,6.22,6.91,7.22,7.41
1.47,0.47,1.9,0.53,4.06
2.13,3.13,4.6,4.13,5.87
6.07,7.07,7.56,8.07,7.84
8.79,9.79,9.59,10,9.19
7.89,8.89,8.91,9.89,8.74
6.11,7.11,7.58,8.11,7.86
0.49,1.49,3.37,2.49,5.05
7.55,8.55,8.66,9.55,8.57
3.44,4.44,5.58,5.44,6.52
5.5,6.5,7.12,7.5,7.55
5.92,6.92,7.44,7.92,7.76
9.34,10,10,10,9.47
3.34,4.34,5.5,5.34,6.47
8.44,9.44,9.33,10,9.02
5.06,6.06,6.8,7.06,7.33
5.83,6.83,7.38,7.83,7.72
6.91,7.91,8.19,8.91,8.26
5.8,6.8,7.35,7.8,7.7
3.04,4.04,5.28,5.04,6.32
5.29,6.29,6.97,7.29,7.44
5.53,6.53,7.15,7.53,7.57
6.43,7.43,7.83,8.43,8.02
2.81,3.81,5.11,4.81,6.21
5,6,6.75,7,7.3
5.95,6.95,7.46,7.95,7.78
7.4,8.4,8.55,9.4,8.5
7.83,8.83,8.88,9.83,8.72
8.44,9.44,9.33,10,9.02
8.24,9.24,9.18,10,8.92
7.49,8.49,8.61,9.49,8.54
6.18,7.18,7.63,8.18,7.89
4.14,5.14,6.11,6.14,6.87
5.21,6.21,6.91,7.21,7.41
8.38,9.38,9.28,10,8.99
6.4,7.4,7.8,8.4,8
7.26,8.26,8.45,9.26,8.43
4.79,5.79,6.59,6.79,7.2
4.34,5.34,6.25,6.34,6.97
8.49,9.49,9.37,10,9.05
9.58,10,10,10,9.59
8.53,9.53,9.4,10,9.07
6.62,7.62,7.97,8.62,8.11
4.28,5.28,6.21,6.28,6.94
9.5,10,10,10,9.55
6.17,7.17,7.63,8.17,7.89
4.86,5.86,6.64,6.86,7.23
3.73,4.73,5.8,5.73,6.67
7.5,8.5,8.63,9.5,8.55
10,10,10,10,10
8.51,9.51,9.38,10,9.06
3.59,4.59,5.7,5.59,6.6
7.02,8.02,8.26,9.02,8.31
7.06,8.06,8.29,9.06,8.33
6.21,7.21,7.66,8.21,7.9
6.39,7.39,7.79,8.39,7.99
4.22,5.22,6.17,6.22,6.91
9.82,10,10,10,9.71
6.92,7.92,8.19,8.92,8.26
6.89,7.89,8.17,8.89,8.25
3.03,4.03,5.27,5.03,6.31
4.7,5.7,6.52,6.7,7.15
3.05,4.05,5.29,5.05,6.33
5.7,6.7,7.28,7.7,7.65
0.42,1.42,3.31,2.42,5.01
6.47,7.47,7.85,8.47,8.04
5.88,6.88,7.41,7.88,7.74
5.82,6.82,7.37,7.82,7.71
6.04,7.04,7.53,8.04,7.82
7.35,8.35,8.51,9.35,8.47
4.54,5.54,6.41,6.54,7.07
8.03,9.03,9.02,10,8.81
